Question,Chance1_model1,Prediction1_model1,Chance2_model1,Prediction2_model1,Chance3_model1,Prediction3_model1,Chance1_model2,Prediction1_model2,Chance2_model2,Prediction2_model2,Chance3_model2
How do you like to spend your weekends?,0.0744856342941995,245-docs-campaign-promotions-.md,0.0638104432230857,123-docs-automation-actions-send-email-.md,0.0439961986109875,323-docs-predictions-predictions-introduction-.md,0.7477783709764481,114-docs-automation-flow-control-optimize-time-.md,0.7370786815881729,114-docs-automation-flow-control-optimize-time-.md,0.5418235851285405
"Do you have any pets? If so, what kind?",0.0535636851009751,68-docs-analytics-aggregates-introduction-to-aggregates-.md,0.0406893448488868,315-docs-assets-schema-builder-introduction-to-schema-builder-.md,0.0342336625417268,67-docs-analytics-aggregates-.md,0.7126372158527374,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7045889347791672,328-docs-predictions-predictions-quickstart-custom-.md,0.703815832734108
What is your favorite season of the year?,0.1325141445219108,83-docs-analytics-expressions-functions-in-expressions-.md,0.1021495733948497,82-docs-analytics-expressions-event-expression-for-reports-.md,0.0769965611541783,178-docs-automation-integration-trustmate-.md,0.7388718128204346,335-docs-crm-client-list-.md,0.7176607847213745,83-docs-analytics-expressions-functions-in-expressions-.md,0.5315658084160013
Have you ever traveled outside of your home country?,0.0243036734386512,150-docs-automation-integration-google-ads-google-ads-create-list-with-profiles-.md,0.0231421576483934,152-docs-automation-integration-google-ads-google-ads-send-profiles-to-list-.md,0.0206730854176131,269-docs-assets-.md,0.6990124434232712,390-docs-settings-report-.md,0.7114215344190598,335-docs-crm-client-list-.md,0.6928320974111557
Are you a morning person or a night owl?,0.085487929466001,265-docs-campaign-personalized-promotions-creating-ai-promotions-.md,0.0784370518700648,263-docs-campaign-personalized-promotions-.md,0.0560658058963862,315-docs-assets-schema-builder-introduction-to-schema-builder-.md,0.728563979268074,114-docs-automation-flow-control-optimize-time-.md,0.7268874496221542,90-docs-analytics-i_date-filters-.md,0.7189754247665405
Do you enjoy any outdoor activities such as hiking or camping?,0.0320254224772094,101-docs-automation-triggers-audience-node-.md,0.0297592888476362,336-docs-crm-crm-profile-.md,0.0271099386602928,277-docs-assets-events-introduction-to-events-.md,0.7280988991260529,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7150685042142868,390-docs-settings-report-.md,0.7049539685249329
What is your favorite board game?,0.0295698475122659,288-docs-assets-events-event-reference-items-.md,0.0230788239802485,276-docs-assets-events-.md,0.0171698632573023,305-docs-assets-tags-.md,0.733213946223259,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7626601457595825,237-docs-campaign-Webpush-two-step-agreement-form-.md,0.7428473681211472
What is your favorite book and why?,0.0395975246865145,288-docs-assets-events-event-reference-items-.md,0.0309052761234069,276-docs-assets-events-.md,0.0163236482432579,259-docs-campaign-recommendations-v2-recommendation-filters-examples-.md,0.768450528383255,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7412080764770508,257-docs-campaign-recommendations-v2-creating-attribute-recommendations-.md,0.7410948425531387
Do you prefer summer or winter vacations?,0.0498565225159502,30-docs-analytics-segmentations-introduction-to-segmentations-.md,0.0406541560819666,264-docs-campaign-personalized-promotions-introduction-to-ai-promotions-.md,0.035137647369385,29-docs-analytics-segmentations-.md,0.7181079089641571,222-docs-campaign-Mobile-mandatory_upgrade-.md,0.7117147147655487,239-docs-campaign-Webpush-creating-webpush-campaigns-.md,0.7037781178951263
"If you could have any superpower, what would it be and why?",0.0594196313303766,241-docs-campaign-screen-views-whats-new-.md,0.0392600392043679,323-docs-predictions-predictions-introduction-.md,0.0319762054487576,301-docs-assets-imports-introduction-to-imports-.md,0.7259540855884552,104-docs-automation-triggers-scheduled-run-.md,0.7256883382797241,190-docs-automation-data-transformation-and-imports-transformations-and-data-operators-filter-columns-.md,0.7168686389923096
What is your favorite hobby or pastime?,0.0288397507528361,288-docs-assets-events-event-reference-items-.md,0.022508994372827,276-docs-assets-events-.md,0.0118888731161737,259-docs-campaign-recommendations-v2-recommendation-filters-examples-.md,0.7379647791385651,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7369392216205597,15-docs-analytics-.md,0.7318941056728363
"If you could travel back in time, which historical event would you want to witness?",0.1150867366432582,277-docs-assets-events-introduction-to-events-.md,0.1040021460044947,276-docs-assets-events-.md,0.0919996995195796,278-docs-assets-events-event-definitions-.md,0.7565355896949768,373-docs-settings-tool-magento-integration-multistore-support-.md,0.748242050409317,91-docs-analytics-i_profile-filter-.md,0.5771279373675586
What is one thing on your bucket list that you haven't done yet?,0.1900766273641951,138-docs-automation-integration-amazon-s3-bucket-get-file-amazon-s3-bucket-.md,0.1871777188753544,139-docs-automation-integration-amazon-s3-bucket-send-file-amazon-s3-bucket-.md,0.0797300206692516,163-docs-automation-integration-google-cloud-storage-get-file-from-gcs-.md,0.7308045625686646,335-docs-crm-client-list-.md,0.7351250350475311,279-docs-assets-events-adding-event-parameters-.md,0.7309313863515854
"Do you enjoy cooking, and if so, what is your signature dish?",0.050948703254967,357-docs-settings-identity-access-management-access-control-single-sign-on-.md,0.0203686771879344,141-docs-automation-integration-azure-blob-storage-get-file-azure-blob-storage-.md,0.0159484513263033,142-docs-automation-integration-azure-blob-storage-send-file-azure-blob-storage-.md,0.7286042273044586,390-docs-settings-report-.md,0.7101422995328903,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.5160304042960124
"If you could live anywhere in the world, where would it be and why?",0.0862759999576756,169-docs-automation-integration-microsoft-teams-.md,0.0747341293424694,176-docs-automation-integration-slack-.md,0.0474419237325438,241-docs-campaign-screen-views-whats-new-.md,0.7113963663578033,362-docs-settings-identity-access-management-iam-for-apps-access-control-.md,0.6996469348669052,104-docs-automation-triggers-scheduled-run-.md,0.5223929028628824
Which country has the largest population in the world?,0.0873089306019507,169-docs-automation-integration-microsoft-teams-.md,0.0756288761134013,176-docs-automation-integration-slack-.md,0.0423359206204817,44-docs-analytics-metrics-creating-simple-metrics-.md,0.7701008319854736,0-docs-ai-search-introduction-to-ai-search-.md,0.7557788491249084,390-docs-settings-report-.md,0.584980569177791
What is the capital city of Australia?,0.058983843044639,70-docs-analytics-aggregates-previewing-aggregates-.md,0.0509595531065946,85-docs-analytics-expressions-previewing-expressions-.md,0.0311313596887457,303-docs-assets-imports-importing-clients-.md,0.75995734333992,390-docs-settings-report-.md,0.7540553510189056,194-docs-automation-data-transformation-and-imports-transformations-and-data-operators-filter-rows-.md,0.5995423333507208
"Who painted the famous artwork ""Starry Night""?",0.0078104680254552,114-docs-automation-flow-control-optimize-time-.md,0.0,99-docs-automation-triggers-.md,0.0,98-docs-automation-creating-automation-.md,0.6981992721557617,371-docs-settings-tool-firebase-.md,0.7115217000246048,4-docs-ai-search-configuring-ai-search-query-rules-.md,0.6958596855401993
What is the highest mountain in Africa?,0.0194717018913421,323-docs-predictions-predictions-introduction-.md,0.0160967319707473,57-docs-analytics-reports-creating-reports-.md,0.013542930204981,298-docs-assets-events-event-reference-recommendations-.md,0.737595334649086,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7758296132087708,1-docs-ai-search-configuring-ai-search-.md,0.7478185147047043
"Who wrote the novel ""Pride and Prejudice""?",0.0,99-docs-automation-triggers-.md,0.0,98-docs-automation-creating-automation-.md,0.0,97-docs-automation-automation-dictionary-.md,0.7440170645713806,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7113458961248398,35-docs-analytics-segmentations-the-logic-of-segmentation-.md,0.5036470801484083
How many legs does a spider have?,0.0356986337374595,24-docs-analytics-funnels-introduction-to-funnels-.md,0.0297239651067976,378-docs-settings-configuration-campaign-limits-.md,0.0268615832290913,169-docs-automation-integration-microsoft-teams-.md,0.7575245499610901,31-docs-analytics-segmentations-creating-segmentations-.md,0.7569743096828461,4-docs-ai-search-configuring-ai-search-query-rules-.md,0.7562088668346405
"Which planet is known as the ""Red Planet""?",0.0990604490451077,260-docs-campaign-recommendations-v2-previewing-recommendations-.md,0.0956996899976247,11-docs-ai-search-ai-search-statistics-.md,0.0793568795227641,104-docs-automation-triggers-scheduled-run-.md,0.7289439737796783,390-docs-settings-report-.md,0.7111056447029114,44-docs-analytics-metrics-creating-simple-metrics-.md,0.5085118092184011
What is the chemical symbol for gold?,0.0481731188017732,108-docs-automation-conditions-metric-filter-node-.md,0.0242781839353618,353-docs-settings-identity-access-management-access-control-password-settings-.md,0.0063210732252906,258-docs-campaign-recommendations-v2-recommendation-filters-.md,0.7985962927341461,4-docs-ai-search-configuring-ai-search-query-rules-.md,0.7783114016056061,233-docs-campaign-landing-page-.md,0.772880494594574
Who won the FIFA World Cup in 2018?,0.0797504454956811,169-docs-automation-integration-microsoft-teams-.md,0.0690815535226206,176-docs-automation-integration-slack-.md,0.0490394010098124,90-docs-analytics-i_date-filters-.md,0.7367404848337173,83-docs-analytics-expressions-functions-in-expressions-.md,0.7538900673389435,364-docs-settings-identity-access-management-single-sign-on-tutorials-setup-sso-azure-ad-.md,0.7460821121931076
What is the largest ocean in the world?,0.0929603875042415,169-docs-automation-integration-microsoft-teams-.md,0.0805242898010593,176-docs-automation-integration-slack-.md,0.0183099641445958,194-docs-automation-data-transformation-and-imports-transformations-and-data-operators-filter-rows-.md,0.7784781754016876,1-docs-ai-search-configuring-ai-search-.md,0.772052675485611,89-docs-analytics-analytics-scenarios-connecting-events-in-crm-.md,0.7687841355800629
What is your favorite fictional book or series?,0.031805231851101,64-docs-analytics-sankey-charts-creating-sankey-charts-.md,0.0260529495292961,288-docs-assets-events-event-reference-items-.md,0.0203339376742984,276-docs-assets-events-.md,0.7503513991832733,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7061156332492828,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.5135489796937169
"If you could travel anywhere in the world, where would you go and why?",0.0801345325211598,169-docs-automation-integration-microsoft-teams-.md,0.0694142579764082,176-docs-automation-integration-slack-.md,0.0440648196726427,241-docs-campaign-screen-views-whats-new-.md,0.7179394960403442,104-docs-automation-triggers-scheduled-run-.md,0.7478029727935791,1-docs-ai-search-configuring-ai-search-.md,0.7107792049646378
What is your favorite type of music and why?,0.047992094459616,288-docs-assets-events-event-reference-items-.md,0.0286218558524945,92-docs-analytics-i_events-parameter-operators-.md,0.0281451412773269,276-docs-assets-events-.md,0.7321422398090363,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7314421385526657,268-docs-campaign-inserts-.md,0.7300475090742111
Do you have any hobbies or special talents?,0.0360799481684789,118-docs-automation-flow-control-split-path-node-.md,0.0312693842098084,93-docs-analytics-i_events-parameter-value-.md,0.0308785522769482,107-docs-automation-conditions-client-filter-node-.md,0.7456320226192474,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7231646180152893,243-docs-campaign-screen-views-creating-screen-views-.md,0.5396875904741609
"Do you prefer coffee or tea, and how do you like it prepared?",0.0526672473117946,30-docs-analytics-segmentations-introduction-to-segmentations-.md,0.044442094719631,301-docs-assets-imports-introduction-to-imports-.md,0.0439193621694347,300-docs-assets-imports-.md,0.7080210447311401,222-docs-campaign-Mobile-mandatory_upgrade-.md,0.706450343132019,239-docs-campaign-Webpush-creating-webpush-campaigns-.md,0.7003409117460251
What is your favorite season of the year and why?,0.1325141445219108,83-docs-analytics-expressions-functions-in-expressions-.md,0.1021495733948497,82-docs-analytics-expressions-event-expression-for-reports-.md,0.0769965611541783,178-docs-automation-integration-trustmate-.md,0.7291503697633743,335-docs-crm-client-list-.md,0.7042471319437027,373-docs-settings-tool-magento-integration-multistore-support-.md,0.7028543502092361
"If you could learn any language instantly, which one would you choose and why?",0.11799000711676,8-docs-ai-search-configuring-ai-search-index-settings-define-language-and-separators-.md,0.1027717437103152,91-docs-analytics-i_profile-filter-.md,0.0984501184767924,5-docs-ai-search-configuring-ai-search-index-settings-.md,0.7318171411752701,227-docs-campaign-in-app-messages-create-inapp-message-.md,0.7210754305124283,35-docs-analytics-segmentations-the-logic-of-segmentation-.md,0.5250604622807862
"Would you rather live in a bustling city or a peaceful countryside, and why?",0.039555022451458,70-docs-analytics-aggregates-previewing-aggregates-.md,0.034173871406143,85-docs-analytics-expressions-previewing-expressions-.md,0.0303747224031063,96-docs-automation-introduction-to-automation-.md,0.6935139745473862,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.6927097737789154,35-docs-analytics-segmentations-the-logic-of-segmentation-.md,0.6923675090074539
What is your biggest fear and how do you cope with it?,0.0,99-docs-automation-triggers-.md,0.0,98-docs-automation-creating-automation-.md,0.0,97-docs-automation-automation-dictionary-.md,0.7178532034158707,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.6928386241197586,390-docs-settings-report-.md,0.4976813768227215
What was the most memorable concert or live performance you've ever attended?,0.0236375401288714,332-docs-predictions-predicitions-measure-performance-.md,0.0209935908764373,373-docs-settings-tool-magento-integration-multistore-support-.md,0.0180721839365835,367-docs-settings-tool-tracking_codes-.md,0.7235414087772369,373-docs-settings-tool-magento-integration-multistore-support-.md,0.7295157015323639,269-docs-assets-.md,0.7220115065574646
"Do you prefer coffee or tea, and how do you take it?",0.0552913436530586,30-docs-analytics-segmentations-introduction-to-segmentations-.md,0.0450858343386057,264-docs-campaign-personalized-promotions-introduction-to-ai-promotions-.md,0.0389679752581843,29-docs-analytics-segmentations-.md,0.7159352898597717,222-docs-campaign-Mobile-mandatory_upgrade-.md,0.7112949043512344,239-docs-campaign-Webpush-creating-webpush-campaigns-.md,0.7062821537256241
"If money were no object, what would be your dream occupation?",0.1391428221701466,346-docs-settings-business-profile-cloning-objects-introduction-to-cloning-.md,0.0631458808782518,347-docs-settings-business-profile-cloning-objects-cloning-analyses-to-workspaces-.md,0.062795928986776,345-docs-settings-business-profile-cloning-objects-.md,0.729600340127945,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7287915498018265,364-docs-settings-identity-access-management-single-sign-on-tutorials-setup-sso-azure-ad-.md,0.7189921438694
What is a skill or talent you have always wanted to learn?,0.1024522572550108,15-docs-analytics-.md,0.0890828146147412,281-docs-assets-events-importing-events-.md,0.0819828680905502,201-docs-campaign-.md,0.7647387385368347,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7375591844320297,15-docs-analytics-.md,0.5586739963686638
What is your favorite type of cuisine?,0.047992094459616,288-docs-assets-events-event-reference-items-.md,0.0286218558524945,92-docs-analytics-i_events-parameter-operators-.md,0.0281451412773269,276-docs-assets-events-.md,0.7630162537097931,257-docs-campaign-recommendations-v2-creating-attribute-recommendations-.md,0.7592422664165497,102-docs-automation-triggers-client-event-node-.md,0.7477159351110458
Do you enjoy outdoor activities like hiking or camping?,0.030959653698933,101-docs-automation-triggers-audience-node-.md,0.0287689343584772,336-docs-crm-crm-profile-.md,0.0277838466078595,323-docs-predictions-predictions-introduction-.md,0.7289519757032394,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7178340405225754,390-docs-settings-report-.md,0.7004424184560776
"Have you ever traveled to a foreign country? If so, where?",0.0250040309328705,150-docs-automation-integration-google-ads-google-ads-create-list-with-profiles-.md,0.0238090438120167,152-docs-automation-integration-google-ads-google-ads-send-profiles-to-list-.md,0.0169392629133666,299-docs-assets-events-event-reference-web-and-app-.md,0.7090963125228882,390-docs-settings-report-.md,0.6937530785799026,194-docs-automation-data-transformation-and-imports-transformations-and-data-operators-filter-rows-.md,0.4956988524735919
What is your go-to hobby or pastime?,0.0,99-docs-automation-triggers-.md,0.0,98-docs-automation-creating-automation-.md,0.0,97-docs-automation-automation-dictionary-.md,0.7385943830013275,15-docs-analytics-.md,0.737013578414917,265-docs-campaign-personalized-promotions-creating-ai-promotions-.md,0.7339901775121689
Have you ever tried a extreme sport like bungee jumping or rock climbing?,0.0318861602836615,96-docs-automation-introduction-to-automation-.md,0.0278497120416008,323-docs-predictions-predictions-introduction-.md,0.0197069843522053,35-docs-analytics-segmentations-the-logic-of-segmentation-.md,0.6907212436199188,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.6860278695821762,390-docs-settings-report-.md,0.4930761625749953
Do you prefer coffee or tea in the morning?,0.0488645065417885,30-docs-analytics-segmentations-introduction-to-segmentations-.md,0.0398452434219135,264-docs-campaign-personalized-promotions-introduction-to-ai-promotions-.md,0.0344384989786455,29-docs-analytics-segmentations-.md,0.7352684438228607,222-docs-campaign-Mobile-mandatory_upgrade-.md,0.7267046570777893,239-docs-campaign-Webpush-creating-webpush-campaigns-.md,0.7262259274721146
"Have you ever attended a music concert or live performance? If so, who did you see?",0.0367988600097529,367-docs-settings-tool-tracking_codes-.md,0.0283946568441927,76-docs-analytics-geoanalytics-previewing-geoanalytics-.md,0.0279920073465683,52-docs-analytics-histograms-previewing-histograms-.md,0.6995032578706741,390-docs-settings-report-.md,0.6989693492650986,373-docs-settings-tool-magento-integration-multistore-support-.md,0.6985075920820236
What is your favorite book of all time?,0.1064251702658769,114-docs-automation-flow-control-optimize-time-.md,0.0853537340276114,389-docs-settings-configuration-time-optimizer-.md,0.0607943990443518,104-docs-automation-triggers-scheduled-run-.md,0.7670246064662933,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.74427430331707,279-docs-assets-events-adding-event-parameters-.md,0.7397837042808533
"If you could travel to any country, where would you go and why?",0.0514783249840345,241-docs-campaign-screen-views-whats-new-.md,0.0416836263553421,150-docs-automation-integration-google-ads-google-ads-create-list-with-profiles-.md,0.0396914446555769,152-docs-automation-integration-google-ads-google-ads-send-profiles-to-list-.md,0.7288414090871811,194-docs-automation-data-transformation-and-imports-transformations-and-data-operators-filter-rows-.md,0.7229305505752563,362-docs-settings-identity-access-management-iam-for-apps-access-control-.md,0.5302799355267052
What is your earliest childhood memory?,0.0323694913570578,277-docs-assets-events-introduction-to-events-.md,0.013518273792167,181-docs-automation-integration-weatherapi-get-weather-information-.md,0.0110189459375605,227-docs-campaign-in-app-messages-create-inapp-message-.md,0.7072899788618088,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.7037696242332458,258-docs-campaign-recommendations-v2-recommendation-filters-.md,0.4968813011211992
"If you could have one superpower, what would it be and why?",0.0631249825152315,241-docs-campaign-screen-views-whats-new-.md,0.0427724105846462,323-docs-predictions-predictions-introduction-.md,0.0351680242396336,105-docs-automation-conditions-.md,0.7251739501953125,104-docs-automation-triggers-scheduled-run-.md,0.7205861806869507,280-docs-assets-events-event-settings-.md,0.5203007952779348
What is your go-to hobby or activity to relax?,0.0368023026697529,101-docs-automation-triggers-audience-node-.md,0.0341981547998846,336-docs-crm-crm-profile-.md,0.0311536301712972,277-docs-assets-events-introduction-to-events-.md,0.7319911867380142,65-docs-analytics-sankey-charts-previewing-sankey-charts-.md,0.7263401001691818,265-docs-campaign-personalized-promotions-creating-ai-promotions-.md,0.724094495177269
"If you could meet any historical figure, who would it be and what would you ask them?",0.0844104013850096,323-docs-predictions-predictions-introduction-.md,0.0560352632483127,329-docs-predictions-previewing-predictions-.md,0.0431589485386662,301-docs-assets-imports-introduction-to-imports-.md,0.725051537156105,390-docs-settings-report-.md,0.7150377482175827,255-docs-campaign-recommendations-v2-creating-recommendation-campaign-.md,0.6926478892564774
What is your favorite movie genre and why?,0.0295698475122659,288-docs-assets-events-event-reference-items-.md,0.0230788239802485,276-docs-assets-events-.md,0.0166606824934986,253-docs-campaign-recommendations-v2-item-feed-requirements-.md,0.7267763018608093,268-docs-campaign-inserts-.md,0.7202681303024292,38-docs-analytics-trends-creating-trends-.md,0.7097362130880356
